portal,data_publicacao,titulo,url,crime_violento,arquivo_origem,data_coleta,categoria,tipo_principal,tipo_detalhado,gravidade,genero_vitima,idade_vitima,faixa_etaria
emtempo,2025-10-13,Adolescente é apreendido por duplo homicídio e maus-tratos em Barreirinha,https://emtempo.com.br/429657/policia/adolescente-apreendido-duplo-homicidio-barreirinha/,TRUE,noticias_raw_emtempo_20250101_20251217.csv,NA,Crime Letal Violento,Homicídio,Homicídio consumado,extrema,indefinido,NA,idade não informada
acritica,2025-07-09,Adolescente é apreendido por envolvimento na morte de Fernando Vilaça; primo segue foragido,https://www.acritica.com/policia/adolescente-e-apreendido-por-envolvimento-na-morte-de-fernando-vilaca-primo-segue-foragido-1.378003,TRUE,noticias_raw_acritica_20250101_20251217.csv,NA,Crime Letal Violento,Homicídio,Homicídio consumado,extrema,indefinido,NA,idade não informada
acritica,2025-10-17,Adolescente é apreendido por furtos e roubos em Iranduba,https://www.acritica.com/policia/adolescente-e-apreendido-por-furtos-e-roubos-em-iranduba-1.386466,TRUE,noticias_raw_acritica_20250101_20251217.csv,NA,Roubo Violento,Roubo/Assalto,Roubo/assalto com confronto,alta,indefinido,NA,idade não informada
acritica,2025-12-05,Adolescente é apreendido por tentativa de homicídio em Manaus,https://www.acritica.com/policia/adolescente-e-apreendido-por-tentativa-de-homicidio-em-manaus-1.390686,TRUE,noticias_raw_acritica_20250101_20251217.csv,NA,Crime Letal Violento,Homicídio,Homicídio consumado,extrema,indefinido,NA,idade não informada
acritica,2025-06-22,Adolescente é sequestrado em Manaus por dívida milionária atribuída ao pai,https://www.acritica.com/policia/adolescente-e-sequestrado-em-manaus-por-divida-milionaria-atribuida-ao-pai-1.376147,TRUE,noticias_raw_acritica_20250101_20251217.csv,NA,Privação de Liberdade,Sequestro/Cárcere Privado,Privação de liberdade com restrição,muito alta,masculino,NA,idade não informada
acritica,2025-10-12,Adolescente é vítima de marteladas em tentativa de assalto; suspeito foi preso,https://www.acritica.com/policia/adolescente-e-vitima-de-marteladas-em-tentativa-de-assalto-suspeito-foi-preso-1.385965,TRUE,noticias_raw_acritica_20250101_20251217.csv,NA,Roubo Violento,Roubo/Assalto,Roubo/assalto com confronto,alta,indefinido,NA,idade não informada
acritica,2025-07-09,Adolescente envolvido no assassinato de Fernando Vilaça se entrega à polícia,https://www.acritica.com/policia/adolescente-envolvido-no-assassinato-de-fernando-vilaca-se-entrega-a-policia-1.377996,TRUE,noticias_raw_acritica_20250101_20251217.csv,NA,Crime Letal Violento,Homicídio,Homicídio consumado,extrema,indefinido,NA,idade não informada
g1_amazonas,2025-12-23,"Adolescente espancada até a morte em Manaus pode ter sido confundida com integrante de facção, diz polícia",https://g1.globo.com/am/amazonas/noticia/2025/12/23/adolescente-morta-em-manaus-pode-ter-sido-confundida-com-integrante-de-faccao-diz-policia.ghtml,TRUE,noticias_raw_g1_amazonas_20250101_20251228.csv,NA,Crime Letal Violento,Homicídio,Homicídio consumado,extrema,indefinido,NA,idade não informada
acritica,2025-11-26,Adolescente indígena de 12 anos é vítima de estupro coletivo em aldeia,https://www.acritica.com/policia/adolescente-indigena-de-12-anos-e-vitima-de-estupro-coletivo-em-aldeia-1.389931,TRUE,noticias_raw_acritica_20250101_20251217.csv,NA,Violência Sexual,Estupro de Vulnerável,Estupro de criança/adolescente,extrema,indefinido,12,12-17 (adolescente)
emtempo,2025-11-26,Adolescente indígena de 12 anos é vítima de estupro coletivo no AM,https://emtempo.com.br/436769/policia/adolescente-indigena-de-12-anos-e-vitima-de-estupro-coletivo-no-am/,TRUE,noticias_raw_emtempo_20250101_20251217.csv,NA,Violência Sexual,Estupro de Vulnerável,Estupro de criança/adolescente,extrema,indefinido,12,12-17 (adolescente)
acritica,2025-10-13,Adolescente que assassinou e esquartejou os irmãos era o responsável por cuidar das crianças,https://www.acritica.com/policia/adolescente-que-assassinou-e-esquartejou-os-irm-os-era-o-responsavel-por-cuidar-das-criancas-1.386052,TRUE,noticias_raw_acritica_20250101_20251217.csv,NA,Crime Letal Violento,Homicídio,Homicídio consumado,extrema,indefinido,NA,idade não informada
acritica,2025-10-10,Adolescente suspeito de assassinar e esquartejar os irmãos é transferido para Parintins,https://www.acritica.com/policia/adolescente-suspeito-de-assassinar-e-esquartejar-os-irm-os-e-transferido-para-parintins-1.385835,TRUE,noticias_raw_acritica_20250101_20251217.csv,NA,Crime Letal Violento,Homicídio,Homicídio consumado,extrema,indefinido,NA,idade não informada
acritica,2025-09-04,Adolescentes de 15 e 17 anos são apreendidos vendendo maconha na Compensa,https://www.acritica.com/policia/adolescentes-de-15-e-17-anos-s-o-apreendidos-vendendo-maconha-na-compensa-1.382863,FALSE,noticias_raw_acritica_20250101_20251217.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,17,12-17 (adolescente)
acritica,2025-08-20,"Adolescentes mortos em carro de aplicativo eram investigados por crimes graves, aponta polícia",https://www.acritica.com/policia/adolescentes-mortos-em-carro-de-aplicativo-eram-investigados-por-crimes-graves-aponta-policia-1.381535,TRUE,noticias_raw_acritica_20250101_20251217.csv,NA,Crime Letal Violento,Homicídio,Homicídio consumado,extrema,indefinido,NA,idade não informada
acritica,2025-09-20,Adolescentes são apreendidas após furto de 42 pacotes de leite em supermercado,https://www.acritica.com/policia/adolescentes-s-o-apreendidas-apos-furto-de-42-pacotes-de-leite-em-supermercado-1.384157,FALSE,noticias_raw_acritica_20250101_20251217.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,NA,idade não informada
emtempo,2025-11-06,Advogados do CV usavam visitas a presídios para comandar ações da facção no AM,https://emtempo.com.br/433228/policia/advogados-do-cv-usavam-visitas-a-presidios-para-comandar-acoes-da-faccao-no-am/,TRUE,noticias_raw_emtempo_20250101_20251217.csv,NA,Crime Organizado,Tráfico de Drogas/Facções,Tráfico associado a facção criminosa,alta,indefinido,NA,idade não informada
g1_amazonas,2025-12-11,Aeroporto de Manaus têm quatro voos cancelados e quatro atrasados nesta quinta após vendaval histórico que atingiu SP,https://g1.globo.com/am/amazonas/noticia/2025/12/11/aeroporto-de-manaus-tem-quatro-voos-cancelados-e-um-atrasado-nesta-quinta-apos-vendaval-historico-que-atingiu-sp.ghtml,FALSE,noticias_raw_g1_amazonas_20250101_20251217.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,NA,idade não informada
g1_amazonas,2025-12-26,"Agenda cultural do Amazonas reúne estreias de cinema, teatro e balada dos anos 2000",https://g1.globo.com/am/amazonas/role-amazonas/noticia/2025/12/26/agenda-cultural-do-amazonas-reune-estreias-de-cinema-teatro-e-balada-dos-anos-2000.ghtml,FALSE,noticias_raw_g1_amazonas_20250101_20251228.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,NA,idade não informada
g1_amazonas,2025-12-19,Agenda cultural do Amazonas reúne eventos natalinos e estreias de cinema,https://g1.globo.com/am/amazonas/role-amazonas/noticia/2025/12/19/agenda-cultural-do-amazonas-reune-eventos-natalinos-e-estreias-de-cinema.ghtml,FALSE,noticias_raw_g1_amazonas_20250105_20251227.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,NA,idade não informada
g1_amazonas,2025-12-12,"Agenda cultural: seresta, flashback dos anos 90 e programação natalina movimentam o fim de semana no AM",https://g1.globo.com/am/amazonas/role-amazonas/noticia/2025/12/12/agenda-cultural-seresta-flashback-dos-anos-90-e-programacao-natalina-movimentam-o-fim-de-semana-no-am.ghtml,FALSE,noticias_raw_g1_amazonas_20250101_20251217.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,NA,idade não informada
