titulo,tipo_principal,tipo_detalhado,gravidade,validado,tipo_corrigido,observacoes
Ex-PM Ronnie Lessa é condenado a 90 anos de prisão por morte de casal,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Três homens são presos por tentativa de feminicídio contra prima em Nova Olinda do Norte,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Mais de uma tonelada de haxixe é apreendida dentro de 'submarino' em Manacapuru,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Dois homens são presos por maus-tratos e estupro de vulnerável em Itacoatiara,Estupro,Estupro consumado,extrema,NA,Estupro,NA
"Mulher é presa com drogas, arma de fogo, munições e dinheiro do tráfico em Novo Aripuanã",Tráfico de Drogas/Facções,Tráfico associado a facção criminosa,alta,NA,Tráfico de Drogas/Facções,NA
Polícia prende dois homens por inadimplência de pensão alimentícia em São Gabriel da Cachoeira,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Enfermeira envolvida com falsa médica será indiciada por crime de organização criminosa,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Polícia apreende mais de 150 kg de cocaína escondidos em parede falsa de embarcação de luxo,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Polícia Federal prende policiais do AM por sequestro e tortura em operação contra garimpo ilegal,Sequestro/Cárcere Privado,Privação de liberdade com restrição,muito alta,NA,Sequestro/Cárcere Privado,NA
Suspeitos são presos em Iranduba após furto de eletrônicos em casa na zona Leste de Manaus,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Irmãos são condenados a mais de 70 anos de prisão por homicídios no bairro Nova Cidade,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
"Professor é preso suspeito de crime sexuais cometidos contra estudante de 15 anos, em Boca do Acre",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Homem é preso em Manaus por agredir companheira e descumprir medida protetiva,Agressão Doméstica,Violência doméstica com lesão corporal,alta,NA,Agressão Doméstica,NA
PM desarticula boca de fumo na Vila da Prata e prende dois homens em flagrante,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Empresários de Manaus são presos no aeroporto de Brasília com R$ 1,2 milhão em espécie",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Polícia prende homem envolvido em furto qualificado de motocicletas em Manaus,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Polícia Federal abre concurso para preenchimento de mil vagas em cinco cargos,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Justiça mantem prisão preventiva de jovem que fingia ser médica, em Manaus",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Idoso é preso suspeito de estuprar a neta de 10 anos, em Parintins",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Assaltantes usam submetralhadora em ataque a ônibus na zona Leste de Manaus,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Suspeitos de garimpo são presos e dragas apreendidas durante a Operação Ágata Amazônia,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Trio suspeito de roubar até 20 celulares por dia é preso na zona Norte de Manaus,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Homem é preso por descumprir medida protetiva contra a ex no bairro Cidade de Deus,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Homem que vendia e desbloqueava celulares roubados é preso em Manaus,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Receita apreende 97 kg de droga no Aeroporto de Manaus; funcionário de empresa aérea é investigado,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Polícia Civil resgata criança de 10 anos que estava sendo vítima de suposto abuso sexual em Jutaí,Abuso Sexual,Abuso sexual consumado,muito alta,NA,Abuso Sexual,NA
Universidade desmente vínculo de falsa médica com a instituição,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"“Ganhou a confiança para aplicar golpes até em crianças doentes”, diz delegado sobre falsa médica",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Polícia prende homem por descumprimento de medida protetiva contra a mãe em Carauari,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Falsa médica é presa em Manaus após atender crianças com problemas cardíacos, incluindo autistas",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Pai e padastro são presos por crime de estupro de vulnerável em dois casos envolvendo crianças,Estupro de Vulnerável,Estupro de criança/adolescente,extrema,NA,Estupro de Vulnerável,NA
Traficante é preso com 240kg de drogas escondidos em seis sacas de fibra em Iranduba,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Polícia divulga imagem pedreiro que aplicou golpe de mais de R$ 17 mil em cliente,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Denarc apreende droga avaliada em R$ 400 mil e arsenal de armas pesadas do Comando Vermelho,Tráfico de Drogas/Facções,Tráfico associado a facção criminosa,alta,NA,Tráfico de Drogas/Facções,NA
Vítima de atropelamento morre na hora e motorista foge em Manaus,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Polícia Militar apreende 73kg de oxi escondidos em casebre no Tarumã,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Condenado por estupro de vulnerável é capturado em comunidade ribeirinha de Itapiranga,Estupro,Estupro consumado,extrema,NA,Estupro,NA
"Condenado por estupro de vulnerável, foragido do estado de São Paulo é preso em Alvarães",Estupro,Estupro consumado,extrema,NA,Estupro,NA
"Em Anori, homem é preso por furto de sete pacotes de picanha",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Em Novo Aripuanã, PC-AM prende homem por sequestro e estupro de vulnerável contra adolescente",Estupro de Vulnerável,Estupro de criança/adolescente,extrema,NA,Estupro de Vulnerável,NA
Corpo é encontrado com mãos e pés amarrados em área de mata da Zona Norte de Manaus,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Idosa morre após ser empurrada e atropelada na Zona Leste de Manaus,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Motocicletas recuperadas de roubos e furtos são devolvidas aos donos pela Polícia Civil,Roubo/Assalto,Roubo/assalto com confronto,alta,NA,Roubo/Assalto,NA
Justiça revoga liberdade e prende novamente policial por porte de armas de guerra em Manaus,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Homem é preso em Jutaí com mala contendo drogas avaliadas em R$400 mil,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Força Tática apreende munições de facção criminosa dentro de apartamento em Manaus,Tráfico de Drogas/Facções,Tráfico associado a facção criminosa,alta,NA,Tráfico de Drogas/Facções,NA
Confronto com a PM deixa dois mortos e dois feridos em área dominada por facção na Zona Norte,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Polícia Civil prende homem por injúria e ameaça contra sua ex-companheira,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Polícia prende homem condenado a nove anos de reclusão por tráfico de drogas,Tráfico de Drogas/Facções,Tráfico associado a facção criminosa,alta,NA,Tráfico de Drogas/Facções,NA
Polícia prende homem por estupro de vulnerável contra criança autista em Itacoatiara,Estupro de Vulnerável,Estupro de criança/adolescente,extrema,NA,Estupro de Vulnerável,NA
MEC divulga lista de espera das vagas remanescentes do Fies,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
PF cumpre mandados de busca e apreensão em endereços ligados a esquema de migração ilegal,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Influencer e Miss Amazonas diz ter sido vítima de agressão e violência psicologica cometidas pelo ex,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Em Tabatinga, cinco pessoas são presas por tráfico de drogas e outros três crimes",Tráfico de Drogas/Facções,Tráfico associado a facção criminosa,alta,NA,Tráfico de Drogas/Facções,NA
"Dia ""D"" da Operação Caminhos Seguros prende 34 pessoas em Manaus e no interior do AM",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Justiça decreta prisão preventiva de policial militar preso com metralhadoras de guerras em Manaus,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Pistoleiro de facção conhecido como 'Morte' é preso por homicídio na zona Oeste de Manaus,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Polícia prende homem envolvido em latrocínio e ocultação de cadáver de idoso,Latrocínio,Roubo seguido de morte,extrema,NA,Latrocínio,NA
"Após perseguição, traficantes conseguem fugir da polícia nadando pelo rio na orla da feira da Panair",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Polícia Civil apreende mais de 200 quilos de cocaína avaliados em R$ 6,3 milhões em Manaus",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Polícia recaptura ‘Loirinho’, fugitivo da Justiça pelos crimes de tráfico de droga e homicídio",Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
"Polícia Federal apreende 44kg de entorpecentes, em PF apreende 44kg de entorpecentes",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Acusados de matar venezuelana em Presidente Figueiredo seguirão presos após Audiência de Instrução,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Polícia prende homem em flagrante por lesão corporal contra ex-companheira no bairro Cidade Nova,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Homem de 47 anos é morto a tiros dentro do próprio carro no bairro Compensa 3, em Manaus",Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
