titulo,tipo_principal,tipo_detalhado,gravidade,validado,tipo_corrigido,observacoes
Homem é preso pela segunda vez em três dias por violência doméstica no interior do Amazonas,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Justiça autoriza e “Dama do Tráfico” vai cumprir prisão domiciliar,Tráfico de Drogas/Facções,Tráfico associado a facção criminosa,alta,NA,Tráfico de Drogas/Facções,NA
Polícia Civil incinera quatro toneladas de entorpecentes apreendidos ao longo deste ano,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Em Benjamin Constant, polícia prende jovem com mais de 15 quilos de pasta base de cocaína",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Homem é condenado a 18 anos de prisão pela morte de enteado com TEA,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
PC-AM prende homem por roubo em comércio no Alvorada,Roubo/Assalto,Roubo/assalto com confronto,alta,NA,Roubo/Assalto,NA
Polícia divulga imagem de adolescente que desapareceu no bairro Compensa,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Homem condenado por roubos no interior é preso na Zona Oeste de Manaus,Roubo/Assalto,Roubo/assalto com confronto,alta,NA,Roubo/Assalto,NA
Suspeito de estuprar duas universitárias é preso em Manaus,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"ALE-AM autoriza novo empréstimo de R$ 1,5 bilhão à gestão Wilson Lima",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Vegetação fluante surge com subida do rio Negro,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Ensaios da Batucada do boi Garantido têm novo local,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Goleiro do São Raimundo fala sobre defender time do coração,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Nível do rio Solimões cai pelo quarto dia consecutivo em Tabatinga,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Nacional vence jogo-treino contra o Sete com gols de Hernane Brocador e Vitinho,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Sindipetro descarta queda de preços de combustíveis com incentivo fiscal à Ream,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Tragédia: corpos de pai e filha são resgatados após desabamento de terra,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Eleição na Ufam coloca em disputa gestão de um orçamento de quase R$ 1 bilhão,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Prefeitura conclui 1ª fase de intervenção e trânsito é alterado na Constantino Nery,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Jovem de 22 anos e grávida é assassinada na saída de casa noturna na zona leste de Manaus,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Polícia apreende mais de uma tonelada de maconha em sítio no Iranduba,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Facções avançam e dominam 40% do Amazonas, aponta Fórum Brasileiro de Segurança Pública",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Execução: corpo de homem é encontrado em estrada de Parintins,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
"Em Manacapuru, homem é preso por descumprimento de medida protetiva e ameaça contra a ex",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Homem com diversos BOs por descumprimento de medida protetiva é capturado pela polícia,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Polícia identifica mãe e filha que abandonaram caixa com filhotes de cachorro na zona norte,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Homem condenado por tráfico de drogas é preso em Beruri,Tráfico de Drogas/Facções,Tráfico associado a facção criminosa,alta,NA,Tráfico de Drogas/Facções,NA
Operação Consórcio de Papel desarticula grupo criminoso em Manaus,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Denarc apreende 300 quilos de maconha avaliados em R$ 5,5 milhões",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
PC-AM prende homem por agredir mãe idosa no bairro Colônia Antônio Aleixo,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Polícia Civil prende foragido da Justiça por tráfico de drogas no bairro Cidade de Deus,Tráfico de Drogas/Facções,Tráfico associado a facção criminosa,alta,NA,Tráfico de Drogas/Facções,NA
Condutor envolvido em acidente que matou duas pessoas tem prisão preventiva decretada,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Foragido por tráfico de drogas é preso no Cidade de Deus,Tráfico de Drogas/Facções,Tráfico associado a facção criminosa,alta,NA,Tráfico de Drogas/Facções,NA
Polícia procura suspeito de estupro contra universitárias no bairro Coroado,Estupro,Estupro consumado,extrema,NA,Estupro,NA
Avô é preso por estuprar a própria neta no interior do AM,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Mais de 20 animais são resgatados de canil clandestino desarticulado pela Sepet,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Ameaças contra mulheres disparam e expõem rotina de violência no AM,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Em Itamarati, PC-AM prende dupla condenada por homicídio qualificado e corrupção de menores",Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Homem é preso em Tefé suspeito de agredir e roubar idosa de 102 anos,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Tiroteio no “Suvaco de Cobra” mata Babidi e deixa um homem ferido em Manaus,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Vendedora de frutas morre atropelada ao deixar trabalho na AM-070,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Homem é preso por agressão física contra ex-companheira em Beruri,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Homem é preso por violência psicológica e ameaça contra a mãe em Carauari,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Professor é preso por importunação sexual contra aluna de 16 anos,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Jovem é preso por agressão física e descumprimento de medida protetiva contra ex-companheira,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Polícia divulga imagem de adolescente que desapareceu no bairro Santa Etelvina,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Base Arpão 3: PMAM apreendeu mais de 1,5 tonelada de pescado ilegal em Barcelos",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Homem acusado de matar mulher é condenado a 18 anos de prisão,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Operação Housekeeping resulta em 14 prisões no Amazonas e em São Paulo,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Trio é preso após denúncia de prática de agiotagem mediante ameaça,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Homem é preso por transporte ilegal de ouro no interior do AM,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Crueldade: Idosa de 102 anos é brutalmente agredida e sobrevive após assalto no interior do AM,Roubo/Assalto,Roubo/assalto com confronto,alta,NA,Roubo/Assalto,NA
Polícia divulga imagem de homem procurado por roubo em unidade de saúde na zona leste,Roubo/Assalto,Roubo/assalto com confronto,alta,NA,Roubo/Assalto,NA
"Após denúncia, polícia apreende 112 pacotes de maconha na zona rural de Iranduba",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Homem procurado por homicídio qualificado praticado em Manaus é preso em São Paulo,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
PC-AM prende 11 pessoas em Uarini por tráfico de drogas e associação para o tráfico,Tráfico de Drogas/Facções,Tráfico associado a facção criminosa,alta,NA,Tráfico de Drogas/Facções,NA
Polícia prende cinco pessoas por sequestro e extorsão de norte-americano no Amazonas,Sequestro/Cárcere Privado,Privação de liberdade com restrição,muito alta,NA,Sequestro/Cárcere Privado,NA
Polícia deflagra operação contra fraudes eletrônicas a idosos,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Homem é preso em flagrante por tentativa de feminicídio contra companheira grávida,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Dupla é presa em flagrante depois de assaltarem passageiros da linha 641,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Em Manacapuru, homem de 33 anos é preso por manter ""casamento infantil"" com menina de 11",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Amazonas atinge 36 toneladas de drogas apreendidas em 2025 e caminha para recorde histótico,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Em Carauari, polícia prende homem condenado a 14 anos de reclusão por homicídio",Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Suspeito de estupro contra criança é preso em Boa Vista do Ramos,Estupro de Vulnerável,Estupro de criança/adolescente,extrema,NA,Estupro de Vulnerável,NA
Homem é preso por descumprimento de medida protetiva contra ex-companheira,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
'Matheus e Cauã' são presos por assalto no interior do Amazonas,Roubo/Assalto,Roubo/assalto com confronto,alta,NA,Roubo/Assalto,NA
"Jovem de 18 anos é preso com armas, drogas e munições na zona norte de Manaus",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
'Gordinho' e 'Katleia' são presos por envolvimento em roubo de R$ 10 mil de comércio na zona Leste,Roubo/Assalto,Roubo/assalto com confronto,alta,NA,Roubo/Assalto,NA
"Em Parintins, Polícia Civil prende homem condenado a 14 anos de reclusão por estupro de sobrinha",Estupro,Estupro consumado,extrema,NA,Estupro,NA
Polícia prende homem por ameaça e descumprimento de medida protetiva contra a ex-companheira,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Foragido por roubo é capturado na Redenção,Roubo/Assalto,Roubo/assalto com confronto,alta,NA,Roubo/Assalto,NA
Homem é preso por estupro e ameaça contra vizinha em Juruá,Estupro,Estupro consumado,extrema,NA,Estupro,NA
Casal é preso em Presidente Figueiredo por estupro e exploração sexual de adolescente,Estupro de Vulnerável,Estupro de criança/adolescente,extrema,NA,Estupro de Vulnerável,NA
"Mulher é presa no interior do AM por invadir casa e agredir a própria mãe, de 71 anos",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Em Maués, PC-AM prende segundo envolvido em homicídio e crimes sexuais contra avó e neta",Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Polícia prende dentista por submeter pacientes a procedimentos estéticos não autorizados,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Falso motorista de aplicativo é preso em Manaus por estupro e roubo contra mulher,Estupro,Estupro consumado,extrema,NA,Estupro,NA
Polícia Civil prende advogados suspeitos de aplicar golpes contra idosos em Manaus e no interior,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Homem de 46 anos é preso por estupro de ex-enteada aos 14 anos,Estupro,Estupro consumado,extrema,NA,Estupro,NA
Operação prende 27 foragidos por homicídio em Manaus e interior do Amazonas,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
"Presos suspeitos de matar jovem em emboscada no bairro Dom Pedro, em Manaus",Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Polícia divulga imagens de quatro homens procurados pelos homicídios de dois irmãos no Alvorada,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Veja a lista com os nomes dos alvos da operação da PF contra o Comando Vermelho em Manaus,Tráfico de Drogas/Facções,Tráfico associado a facção criminosa,alta,NA,Tráfico de Drogas/Facções,NA
Operação da PF desarticula núcleo jurídico e operacional do Comando Vermelho no Amazonas,Tráfico de Drogas/Facções,Tráfico associado a facção criminosa,alta,NA,Tráfico de Drogas/Facções,NA
Homem condenado por estupro é preso em Barreirinha,Estupro,Estupro consumado,extrema,NA,Estupro,NA
Polícia prende homem condenado a 12 anos por duplo homicídio,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Homem é preso em Parintins por agredir a própria madrasta idosa,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Mulher que emprestava dinheiro com juros abusivos é presa por extorsão; comparsa segue foragido,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Mulher que usou documento falso para tentar aplicar golpe é presa em Manaus,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Polícia prende pistoleiros envolvidos no assassinato de jovem no Dom Pedro,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Polícia Civil alerta idosos sobre golpes e reforça atenção nas agências bancárias,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Homem é preso por ameaçar a ex-companheira com pistolas no Alvorada,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Pai é preso por abusar sexualmente da própria filha em Manaus,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"PC-AM prende homem por enforcar e ameaçar matar a companheira, em Manacapuru",Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Polícia Civil prende homem por descumprimento de medida e ameaça contra a ex-companheira,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Pais são presos em ação policial por estupro de vulnerável e pornografia infantil,Estupro,Estupro consumado,extrema,NA,Estupro,NA
Homem que matou a própria mãe a facadas é preso em Manaus,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Pistoleiros executam jovem de 21 anos no Dom Pedro,Acerto de Contas,Execução por disputa/vingança,extrema,NA,Acerto de Contas,NA
"FICCO apreende mais de R$ 1,1 milhão em ações contra suspeita de lavagem de dinheiro em Manaus",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Em Beruri, PC-AM e PMAM prendem homem por estupro de vulnerável contra sobrinha de oito anos",Estupro,Estupro consumado,extrema,NA,Estupro,NA
Corpos de criminosos mortos em operação no Rio de Janeiro são sepultados em Manaus,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
STF marca julgamento de denúncia contra Eduardo Bolsonaro por coação,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Polícia apreende quase 700 kg de cocaína no rio Solimões,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Jovem de 20 anos é preso, suspeito de estuprar duas crianças no interior do Amazonas",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Avô é preso, suspeito de estuprar as netas de 7 e 13 anos",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Chefes do CV do Amazonas pagam por ""home office"" no Rio de Janeiro",Tráfico de Drogas/Facções,Tráfico associado a facção criminosa,alta,NA,Tráfico de Drogas/Facções,NA
Homem é preso com 36 quilos de maconha em malas no Aeroporto Internacional de Manaus,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Em Carauari, PC-AM prende mulher por ameaças e desacato contra autoridade policial",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Rocam recupera pistola da PM em tiroteio com traficantes,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Polícia retira R$ 4,5 milhões em cocaína de circulação em Manaus",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
DERFV apresenta 132 motos recuperadas da Operação Rota Interrompida,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Mulher de 19 anos é presa após esfaquear homem em Manicoré,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Denúncia de execução policial e adulteração de cena de crime marca morte de jovem na Vila da Prata,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Protesto fecha Avenida Brasil em Manaus após morte de jovem em ação da Rocam,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Polícia Civil prende homem por tentativa de feminicídio contra a companheira,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Homem é preso em flagrante em centro de armazenamento e distribuição de drogas no Manoa,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Homem é preso por armazenar mais de 700 arquivos de pornografia infantil em Manaus,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Delegada amazonense vai comandar a Polícia Federal no Amazonas,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Polícia Civil desarticula centro de distribuição de drogas na Zona Norte de Manaus,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Trio é preso por tráfico de drogas no município de Juruá,Tráfico de Drogas/Facções,Tráfico associado a facção criminosa,alta,NA,Tráfico de Drogas/Facções,NA
Ouro apreendido com policiais veio da Venezuela,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Polícia Civil divulga imagem de dois homens que desapareceram em Manaus,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Policial civil e militares são presos em ação que apreendeu cerca de R$ 46 milhões em barras de ouro,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"PC-AM divulga imagem de homem procurado por tentativa de feminicídio, em Nova Olinda do Norte",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Mais dois criminosos do Amazonas estão entre os mortos em ação no Rio de Janeiro,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Polícia prende homem condenado a mais de 16 anos por estupro de vulnerável,Estupro,Estupro consumado,extrema,NA,Estupro,NA
Trio é preso por tentar matar e roubar uma mulher no interior,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Polícia prende líder de quadrilha que furtava e adulterava motos enviadas a Parintins,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Homem morre em confronto com a Rocam em ponto de tráfico na Vila da Prata,Tráfico de Drogas/Facções,Tráfico associado a facção criminosa,alta,NA,Tráfico de Drogas/Facções,NA
"Trio é preso em flagrante por receptação de veículo, tráfico de drogas e porte ilegal de arma",Tráfico de Drogas/Facções,Tráfico associado a facção criminosa,alta,NA,Tráfico de Drogas/Facções,NA
Homem é preso por cárcere privado e violência psicológica contra a companheira,Sequestro/Cárcere Privado,Privação de liberdade com restrição,muito alta,NA,Sequestro/Cárcere Privado,NA
Motorista é preso ao transportar 7 mil litros de soda cáustica sem autorização,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Ação da PM e PF apreende 146,1 quilos de maconha, do tipo 'skunk'",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Polícia aponta indícios de incêndio criminoso que matou avô e neto em Manacapuru,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Megaoperação no Rio de Janeiro deixa mortos e presos em ofensiva contra o Comando Vermelho,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Mulher que roubou roupas da esposa de traficante foge de cativeiro e escapa da morte,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Jovem é preso por dopar e abusar sexualmente de adolescente em Beruri,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Assassinato: mulher é encontrada morta com dois ferimentos na cabeça na zona leste de Manaus,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Traficante de drogas fugitiva da Justiça é presa na zona sul de Manaus,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Pai é preso por estuprar o filho de apenas três anos,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Polícia desarticula ponto de distribuição de droga na Betânia e prende traficante de 18 anos,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Após briga, homem é assassinado a pauladas em Manacapuru",Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Homem é morto a tiros no bairro Lírio do Vale,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
"IA impulsiona inovações, mas também abre portas para o crime cibernético",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Dupla é presa por tentativa de homicídio em Itacoatiara após perseguir a vítima,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
"Denarc prende homem e apreende 5,7kg de cocaína na zona Leste de Manaus",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Mulher é presa por suspeita de armar 'casinha' para homem executado dentro de shopping na zona Oeste,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
"Orgia em suite de motel termina com duas pessoas feridas a golpes de gargalo de garrafa, em Manaus",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Polícia Federal apreende mais de 170kg de cocaína dentro de embarcação em Tabatinga,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
PC-AM prende proprietário de loja automotivas com peças furtadas de motocicletas,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Polícia Civil prende homem por tentativa de feminicídio contra a ex-companheira,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Em Beruri, Polícia Civil prende mulher por lesão corporal contra seu companheiro",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Polícia prende homem investigado por extorsão contra o próprio pai,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Haitiano procurado pela Interpol é preso ao desembarcar em Manaus,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Haitiano procurado pela Interpol é preso ao desembarcar em Manaus,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Mulher é presa por receptação de materiais de obra avaliados em mais de R$ 20 mil,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Integrantes do Comando Vermelho que ordenavam ações no Pará são presos em Manaus,Tráfico de Drogas/Facções,Tráfico associado a facção criminosa,alta,NA,Tráfico de Drogas/Facções,NA
Suspeito de torturar e assassinar empresário de 74 anos em Manacapuru é preso em Manaus,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Homem de 23 anos é preso em flagrante por estuprar a enteada na zona leste de Manaus,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Polícia Civil prende homem em flagrante por tráfico de drogas e apologia ao crime,Tráfico de Drogas/Facções,Tráfico associado a facção criminosa,alta,NA,Tráfico de Drogas/Facções,NA
"Polícia prende homem investigado em Manaus por furto, receptação qualificada e associação",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"PC-AM e GCM prendem homem pela prática de diversos crimes contra sua ex-companheira, em Uarini",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Casal é preso em flagrante negociando a venda de celulares roubados,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Venezuelano é preso em Manaus após fazer família refém durante fuga no Coroado,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Casal é preso em Manaus ao tentar vender celulares roubados após show no Dom Pedro,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Dupla de traficantes é presa e adolescente apreendido vendendo drogas no Iranduba,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Condenado a 17 anos, assaltante ""Menor"" é recapturado pela Rocam em Manaus",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Polícia prende suspeitos do assassinato de motorista de aplicativo,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
"Em Humaitá, PC-AM prende homem condenado a 14 anos de prisão por homicídio qualificado",Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
PC-AM prende homem por violência psicológica e injúria contra ex-companheira,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
PC-AM prende homem por atirar em carro parado no bairro Santo Agostinho,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Mais de 130 veículos adulterados ou roubados são apreendidos durante operação da polícia no AM,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Idoso condenado a 14 anos de prisão por homicídio é capturado em Humaitá,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Homem é preso por descumprimento de medida protetiva contra ex-companheira,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Padrasto é preso por estuprar enteada de nove anos desde 2023,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Polícia apreende quase 700 kg de droga no interior do AM, ninguém foi preso",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Homem é preso no interior do AM por estuprar a própria enteada; mãe da menina sabia dos abusos,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Homem é preso após fazer família refém com arma falsa durante fuga de perseguição policial em Manaus,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
PC-AM faz apreensão recorde de 132 veículos adulterados e roubados,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
PC prende homem investigado por lesão corporal contra ex-companheira,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Homem é suspeito de assassinar o próprio cunhado com tiro no coração em frente à casa dele,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Homem que assassinou vizinho após discussão é preso no bairro Cidade de Deus,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
"Com sinais de golpes de faca, homem é encontrado morto na zona norte de Manaus",Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Polícia encontra 34 kg de cocaína negra avaliados em mais de R$ 18 milhões em mansão na Ponta Negra,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Homem é preso em flagrante por tortura e cárcere privado contra companheira no interior do AM,Sequestro/Cárcere Privado,Privação de liberdade com restrição,muito alta,NA,Sequestro/Cárcere Privado,NA
Foragido da Justiça é preso em ação integrada entre Guarda Municipal de Manaus e Polícia Federal,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Homem é preso por tráfico de drogas após denúncia de violência doméstica,Tráfico de Drogas/Facções,Tráfico associado a facção criminosa,alta,NA,Tráfico de Drogas/Facções,NA
Homem morre esmagado por estrutura de concreto em fábrica de Açaí de Manacapuru,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Avô e neto morrem carbonizados em incêndio ocorrido em comunidade de Manacapuru,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Casal é preso com 512 kg de droga avaliados em R$ 9 milhões em Manaus,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Polícia apreende 580 kg de maconha avaliados em R$ 8 milhões em Jutaí,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Polícia Civil apreende cocaína avaliada em R$ 19,5 milhões em mansão na Ponta Negra",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Três homens são presos por envolvimento com tráfico de drogas nas zonas Norte e Leste de Manaus,Tráfico de Drogas/Facções,Tráfico associado a facção criminosa,alta,NA,Tráfico de Drogas/Facções,NA
