data_publicacao,portal,titulo,url,categoria_atual,tipo_principal_atual,gravidade_atual,tipo_sugerido_ml,prob_tipo_ml,tipo_corrigido,categoria_corrigida,gravidade_corrigida,validado,observacoes
2025-11-11,acritica,"Jovem de 18 anos é preso com armas, drogas e munições na zona norte de Manaus",https://www.acritica.com/policia/jovem-de-18-anos-e-preso-com-armas-drogas-e-munic-es-na-zona-norte-de-manaus-1.388586,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-11-10,acritica,Polícia prende homem por ameaça e descumprimento de medida protetiva contra a ex-companheira,https://www.acritica.com/policia/policia-prende-homem-por-ameaca-e-descumprimento-de-medida-protetiva-contra-a-ex-companheira-1.388523,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-11-10,acritica,"Mulher é presa no interior do AM por invadir casa e agredir a própria mãe, de 71 anos",https://www.acritica.com/policia/mulher-e-presa-no-interior-do-am-por-invadir-casa-e-agredir-a-propria-m-e-de-71-anos-1.388451,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-11-07,acritica,Polícia prende dentista por submeter pacientes a procedimentos estéticos não autorizados,https://www.acritica.com/policia/policia-prende-dentista-por-submeter-pacientes-a-procedimentos-esteticos-n-o-autorizados-1.388242,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-11-07,acritica,Polícia Civil prende advogados suspeitos de aplicar golpes contra idosos em Manaus e no interior,https://www.acritica.com/policia/policia-civil-prende-advogados-suspeitos-de-aplicar-golpes-contra-idosos-em-manaus-e-no-interior-1.388225,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-11-05,acritica,Homem é preso em Parintins por agredir a própria madrasta idosa,https://www.acritica.com/policia/homem-e-preso-em-parintins-por-agredir-a-propria-madrasta-idosa-1.388066,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-11-05,acritica,Mulher que emprestava dinheiro com juros abusivos é presa por extorsão; comparsa segue foragido,https://www.acritica.com/policia/mulher-que-emprestava-dinheiro-com-juros-abusivos-e-presa-por-extors-o-comparsa-segue-foragido-1.388045,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-11-05,acritica,Mulher que usou documento falso para tentar aplicar golpe é presa em Manaus,https://www.acritica.com/policia/mulher-que-usou-documento-falso-para-tentar-aplicar-golpe-e-presa-em-manaus-1.388043,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-11-04,acritica,Polícia Civil alerta idosos sobre golpes e reforça atenção nas agências bancárias,https://www.acritica.com/policia/policia-civil-alerta-idosos-sobre-golpes-e-reforca-atenc-o-nas-agencias-bancarias-1.388005,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-11-04,acritica,Homem é preso por ameaçar a ex-companheira com pistolas no Alvorada,https://www.acritica.com/policia/homem-e-preso-por-ameacar-a-ex-companheira-com-pistolas-no-alvorada-1.387978,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-11-04,acritica,Pai é preso por abusar sexualmente da própria filha em Manaus,https://www.acritica.com/policia/pai-e-preso-por-abusar-sexualmente-da-propria-filha-em-manaus-1.387976,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-11-04,acritica,Polícia Civil prende homem por descumprimento de medida e ameaça contra a ex-companheira,https://www.acritica.com/policia/policia-civil-prende-homem-por-descumprimento-de-medida-e-ameaca-contra-a-ex-companheira-1.387957,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-11-04,acritica,"FICCO apreende mais de R$ 1,1 milhão em ações contra suspeita de lavagem de dinheiro em Manaus",https://www.acritica.com/policia/ficco-apreende-mais-de-r-1-1-milh-o-em-ac-es-contra-suspeita-de-lavagem-de-dinheiro-em-manaus-1.387936,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-11-03,acritica,STF marca julgamento de denúncia contra Eduardo Bolsonaro por coação,https://www.acritica.com/policia/stf-marca-julgamento-de-denuncia-contra-eduardo-bolsonaro-por-coac-o-1.387874,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-11-03,acritica,Polícia apreende quase 700 kg de cocaína no rio Solimões,https://www.acritica.com/policia/policia-apreende-quase-700-kg-de-cocaina-no-rio-solim-es-1.387869,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-11-02,acritica,"Jovem de 20 anos é preso, suspeito de estuprar duas crianças no interior do Amazonas",https://www.acritica.com/policia/jovem-de-20-anos-e-preso-suspeito-de-estuprar-duas-criancas-no-interior-do-amazonas-1.387782,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-11-02,acritica,"Avô é preso, suspeito de estuprar as netas de 7 e 13 anos",https://www.acritica.com/policia/avo-e-preso-suspeito-de-estuprar-as-netas-de-7-e-13-anos-1.387755,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-11-01,acritica,Homem é preso com 36 quilos de maconha em malas no Aeroporto Internacional de Manaus,https://www.acritica.com/policia/homem-e-preso-com-36-quilos-de-maconha-em-malas-no-aeroporto-internacional-de-manaus-1.387705,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-10-31,acritica,"Em Carauari, PC-AM prende mulher por ameaças e desacato contra autoridade policial",https://www.acritica.com/policia/em-carauari-pc-am-prende-mulher-por-ameacas-e-desacato-contra-autoridade-policial-1.387668,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-10-31,acritica,Rocam recupera pistola da PM em tiroteio com traficantes,https://www.acritica.com/policia/rocam-recupera-pistola-da-pm-em-tiroteio-com-traficantes-1.387657,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-10-31,acritica,"Polícia retira R$ 4,5 milhões em cocaína de circulação em Manaus",https://www.acritica.com/policia/policia-retira-r-4-5-milh-es-em-cocaina-de-circulac-o-em-manaus-1.387652,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-10-31,acritica,DERFV apresenta 132 motos recuperadas da Operação Rota Interrompida,https://www.acritica.com/policia/derfv-apresenta-132-motos-recuperadas-da-operac-o-rota-interrompida-1.387645,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-10-31,acritica,Mulher de 19 anos é presa após esfaquear homem em Manicoré,https://www.acritica.com/policia/mulher-de-19-anos-e-presa-apos-esfaquear-homem-em-manicore-1.387631,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-10-30,acritica,Polícia Civil prende homem por tentativa de feminicídio contra a companheira,https://www.acritica.com/policia/policia-civil-prende-homem-por-tentativa-de-feminicidio-contra-a-companheira-1.387554,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-10-30,acritica,Homem é preso em flagrante em centro de armazenamento e distribuição de drogas no Manoa,https://www.acritica.com/policia/homem-e-preso-em-flagrante-em-centro-de-armazenamento-e-distribuic-o-de-drogas-no-manoa-1.387552,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-10-30,acritica,Homem é preso por armazenar mais de 700 arquivos de pornografia infantil em Manaus,https://www.acritica.com/policia/homem-e-preso-por-armazenar-mais-de-700-arquivos-de-pornografia-infantil-em-manaus-1.387539,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-10-30,acritica,Delegada amazonense vai comandar a Polícia Federal no Amazonas,https://www.acritica.com/policia/delegada-amazonense-vai-comandar-a-policia-federal-no-amazonas-1.387536,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-10-30,acritica,Polícia Civil desarticula centro de distribuição de drogas na Zona Norte de Manaus,https://www.acritica.com/policia/policia-civil-desarticula-centro-de-distribuic-o-de-drogas-na-zona-norte-de-manaus-1.387527,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-10-30,acritica,Ouro apreendido com policiais veio da Venezuela,https://www.acritica.com/policia/ouro-apreendido-com-policiais-veio-da-venezuela-1.387516,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-10-30,acritica,Polícia Civil divulga imagem de dois homens que desapareceram em Manaus,https://www.acritica.com/policia/policia-civil-divulga-imagem-de-dois-homens-que-desapareceram-em-manaus-1.387498,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-10-30,acritica,Policial civil e militares são presos em ação que apreendeu cerca de R$ 46 milhões em barras de ouro,https://www.acritica.com/policia/policial-civil-e-militares-s-o-presos-em-ac-o-que-apreendeu-cerca-de-r-46-milh-es-em-barras-de-ouro-1.387472,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-10-29,acritica,"PC-AM divulga imagem de homem procurado por tentativa de feminicídio, em Nova Olinda do Norte",https://www.acritica.com/policia/pc-am-divulga-imagem-de-homem-procurado-por-tentativa-de-feminicidio-em-nova-olinda-do-norte-1.387443,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-10-29,acritica,Polícia prende líder de quadrilha que furtava e adulterava motos enviadas a Parintins,https://www.acritica.com/policia/policia-prende-lider-de-quadrilha-que-furtava-e-adulterava-motos-enviadas-a-parintins-1.387414,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-10-28,acritica,Motorista é preso ao transportar 7 mil litros de soda cáustica sem autorização,https://www.acritica.com/policia/motorista-e-preso-ao-transportar-7-mil-litros-de-soda-caustica-sem-autorizac-o-1.387327,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-10-28,acritica,"Ação da PM e PF apreende 146,1 quilos de maconha, do tipo 'skunk'",https://www.acritica.com/policia/ac-o-da-pm-e-pf-apreende-146-1-quilos-de-maconha-do-tipo-skunk-1.387323,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-10-27,acritica,Jovem é preso por dopar e abusar sexualmente de adolescente em Beruri,https://www.acritica.com/policia/jovem-e-preso-por-dopar-e-abusar-sexualmente-de-adolescente-em-beruri-1.387256,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-10-27,acritica,Traficante de drogas fugitiva da Justiça é presa na zona sul de Manaus,https://www.acritica.com/policia/traficante-de-drogas-fugitiva-da-justica-e-presa-na-zona-sul-de-manaus-1.387226,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-10-27,acritica,Pai é preso por estuprar o filho de apenas três anos,https://www.acritica.com/policia/pai-e-preso-por-estuprar-o-filho-de-apenas-tres-anos-1.387224,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-10-27,acritica,Polícia desarticula ponto de distribuição de droga na Betânia e prende traficante de 18 anos,https://www.acritica.com/policia/policia-desarticula-ponto-de-distribuic-o-de-droga-na-betania-e-prende-traficante-de-18-anos-1.387216,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-10-25,acritica,"IA impulsiona inovações, mas também abre portas para o crime cibernético",https://www.acritica.com/policia/ia-impulsiona-inovac-es-mas-tambem-abre-portas-para-o-crime-cibernetico-1.387112,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-10-24,acritica,"Denarc prende homem e apreende 5,7kg de cocaína na zona Leste de Manaus",https://www.acritica.com/policia/denarc-prende-homem-e-apreende-5-7kg-de-cocaina-na-zona-leste-de-manaus-1.387038,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-10-24,acritica,"Orgia em suite de motel termina com duas pessoas feridas a golpes de gargalo de garrafa, em Manaus",https://www.acritica.com/policia/orgia-em-suite-de-motel-termina-com-duas-pessoas-feridas-a-golpes-de-gargalo-de-garrafa-em-manaus-1.387026,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-10-24,acritica,Polícia Federal apreende mais de 170kg de cocaína dentro de embarcação em Tabatinga,https://www.acritica.com/policia/policia-federal-apreende-mais-de-170kg-de-cocaina-dentro-de-embarcac-o-em-tabatinga-1.387017,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-10-23,acritica,PC-AM prende proprietário de loja automotivas com peças furtadas de motocicletas,https://www.acritica.com/policia/pc-am-prende-proprietario-de-loja-automotivas-com-pecas-furtadas-de-motocicletas-1.386992,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
